"elevation","aspect","slope","horizontal_distance_to_hydrology","vertical_distance_to_hydrology","horizontal_distance_to_roadways","hillshade_9am","hillshade_noon","hillshade_3pm","horizontal_distance_to_fire_points","wilderness_area","soil_type","lodgepole_pine"
3340,62,16,661,125,2278,232,206,102,2095,"wilderness_area_1","soil_type_40","0"
2443,284,24,120,57,738,148,232,221,1507,"wilderness_area_4","soil_type_10","1"
2661,21,22,124,37,716,199,186,116,1211,"wilderness_area_3","soil_type_33","1"
2746,33,12,150,13,1605,218,214,131,1242,"wilderness_area_3","soil_type_10","0"
2660,17,16,67,11,1890,205,205,133,994,"wilderness_area_3","soil_type_10","1"
3281,57,14,384,-33,3276,229,209,110,1962,"wilderness_area_3","soil_type_39","0"
2628,53,7,297,109,1456,224,224,134,1788,"wilderness_area_3","soil_type_2","0"
3402,111,7,713,123,1919,232,233,134,1812,"wilderness_area_1","soil_type_35","0"
2707,32,9,400,29,2376,218,221,139,1680,"wilderness_area_3","soil_type_32","0"
2528,137,17,67,14,1434,244,231,109,1328,"wilderness_area_3","soil_type_4","0"
3371,194,6,42,-1,2862,219,245,161,543,"wilderness_area_3","soil_type_38","0"
2810,93,34,150,85,2080,249,167,17,430,"wilderness_area_3","soil_type_13","0"
2526,158,17,90,17,1050,236,241,129,1655,"wilderness_area_3","soil_type_4","0"
3244,254,7,671,107,1994,204,245,179,2131,"wilderness_area_3","soil_type_31","0"
2837,203,8,816,60,2255,216,247,166,1650,"wilderness_area_3","soil_type_17","0"
2818,133,12,636,43,2117,239,234,124,1804,"wilderness_area_3","soil_type_17","0"
2881,246,11,503,176,1860,197,249,189,2046,"wilderness_area_3","soil_type_13","0"
2808,253,17,228,81,1630,180,249,205,2280,"wilderness_area_3","soil_type_13","0"
3020,206,27,258,118,1974,193,252,181,2060,"wilderness_area_3","soil_type_23","1"
3008,355,14,330,149,1034,196,214,155,3471,"wilderness_area_3","soil_type_24","0"
3391,147,10,323,48,1507,234,239,136,2914,"wilderness_area_1","soil_type_38","0"
3425,120,9,153,46,1879,236,233,128,3089,"wilderness_area_1","soil_type_40","0"
3164,190,8,30,2,2567,220,247,160,1092,"wilderness_area_3","soil_type_23","0"
2821,297,4,85,1,992,208,238,169,242,"wilderness_area_3","soil_type_23","0"
3362,228,11,150,3,4500,204,250,183,3572,"wilderness_area_3","soil_type_35","0"
3243,20,6,42,2,3171,216,227,148,2814,"wilderness_area_3","soil_type_39","0"
3242,34,17,780,108,2239,215,201,117,2282,"wilderness_area_3","soil_type_38","0"
3416,333,4,450,-28,4765,210,234,163,4194,"wilderness_area_3","soil_type_35","0"
3327,36,17,90,-6,3587,217,200,113,2854,"wilderness_area_3","soil_type_39","0"
3079,157,12,258,18,1614,233,241,137,806,"wilderness_area_3","soil_type_31","1"
3235,63,17,30,4,1690,233,203,97,2706,"wilderness_area_1","soil_type_29","0"
3353,240,8,42,4,4953,206,247,179,3636,"wilderness_area_3","soil_type_38","0"
3401,69,12,150,-7,3919,233,215,113,2844,"wilderness_area_3","soil_type_39","0"
3123,216,13,247,-17,2548,207,252,179,589,"wilderness_area_3","soil_type_32","1"
3364,88,16,511,207,1358,242,211,93,976,"wilderness_area_3","soil_type_39","0"
3292,285,29,999,194,3695,129,225,230,2356,"wilderness_area_3","soil_type_27","0"
3246,340,14,150,26,1777,190,219,167,418,"wilderness_area_3","soil_type_39","0"
3334,6,26,85,30,2458,179,180,130,524,"wilderness_area_3","soil_type_39","0"
3225,270,7,457,69,360,202,243,180,1917,"wilderness_area_2","soil_type_23","0"
2921,49,21,240,107,2436,223,190,91,2017,"wilderness_area_3","soil_type_33","0"
3063,70,23,360,38,2322,238,189,70,1783,"wilderness_area_3","soil_type_33","0"
3418,108,7,691,-74,870,232,232,133,443,"wilderness_area_2","soil_type_38","0"
3464,42,24,30,0,1804,216,180,88,1908,"wilderness_area_2","soil_type_39","0"
3402,137,21,277,73,1018,247,226,97,4089,"wilderness_area_2","soil_type_38","1"
3293,125,28,108,-37,633,253,208,63,3728,"wilderness_area_2","soil_type_25","1"
2521,179,12,0,0,2030,225,247,153,1983,"wilderness_area_3","soil_type_17","0"
2514,72,3,0,0,1964,223,233,146,1935,"wilderness_area_3","soil_type_17","0"
2630,85,14,497,24,2893,239,216,104,2724,"wilderness_area_3","soil_type_10","0"
2567,105,11,30,-6,750,239,226,116,1200,"wilderness_area_3","soil_type_11","0"
2552,238,27,0,0,2796,161,251,217,977,"wilderness_area_3","soil_type_4","0"
2559,52,27,67,15,2813,222,171,67,895,"wilderness_area_3","soil_type_10","0"
2575,225,10,402,76,2457,206,250,180,566,"wilderness_area_3","soil_type_2","0"
2404,35,22,60,-5,849,211,186,100,1159,"wilderness_area_3","soil_type_10","0"
2418,137,15,268,77,871,242,233,116,1279,"wilderness_area_3","soil_type_2","0"
2469,18,25,150,69,977,193,180,115,1167,"wilderness_area_3","soil_type_10","0"
2629,124,21,671,221,660,250,220,88,1291,"wilderness_area_3","soil_type_4","0"
2968,52,11,0,0,6177,226,216,123,3577,"wilderness_area_1","soil_type_30","0"
2945,4,7,30,6,5947,211,227,153,3872,"wilderness_area_1","soil_type_24","0"
3109,126,13,417,-32,4001,242,231,115,4664,"wilderness_area_1","soil_type_30","1"
2852,7,8,42,3,2826,210,224,151,2738,"wilderness_area_1","soil_type_12","1"
2953,117,7,108,7,5312,233,233,132,2064,"wilderness_area_1","soil_type_29","0"
2984,55,13,268,39,4116,228,211,113,1896,"wilderness_area_1","soil_type_29","1"
2989,217,12,124,22,4564,207,251,179,1889,"wilderness_area_1","soil_type_29","0"
3095,18,2,228,11,5187,217,234,154,1200,"wilderness_area_1","soil_type_29","0"
3162,131,9,277,23,5143,235,235,131,2596,"wilderness_area_1","soil_type_29","1"
3046,100,9,30,2,3449,236,227,122,485,"wilderness_area_1","soil_type_29","0"
3192,45,1,576,9,5315,219,235,153,2210,"wilderness_area_1","soil_type_19","0"
2599,28,21,30,10,1071,207,190,111,912,"wilderness_area_3","soil_type_20","0"
2098,8,28,108,-3,488,177,174,124,481,"wilderness_area_4","soil_type_10","0"
2796,145,18,240,-26,693,242,234,115,430,"wilderness_area_1","soil_type_30","0"
2970,146,23,242,57,361,244,230,101,782,"wilderness_area_3","soil_type_32","0"
2741,284,15,0,0,1047,176,239,202,1476,"wilderness_area_3","soil_type_20","0"
2174,259,32,95,71,577,128,238,238,684,"wilderness_area_4","soil_type_10","0"
2153,116,27,134,75,713,254,203,59,67,"wilderness_area_4","soil_type_3","0"
2308,250,25,366,195,997,159,248,221,488,"wilderness_area_4","soil_type_3","0"
2140,320,32,60,33,1200,124,192,199,1048,"wilderness_area_4","soil_type_10","0"
2349,314,17,283,124,1101,172,224,191,570,"wilderness_area_4","soil_type_6","0"
2144,30,23,42,13,1357,206,183,103,1332,"wilderness_area_4","soil_type_17","0"
2137,117,25,30,11,1248,253,207,66,600,"wilderness_area_4","soil_type_3","0"
2131,299,6,30,1,911,203,238,174,1465,"wilderness_area_4","soil_type_17","0"
2357,46,15,295,179,953,223,205,111,1329,"wilderness_area_4","soil_type_1","0"
2191,257,8,0,0,534,202,245,181,1231,"wilderness_area_4","soil_type_16","0"
3301,336,9,124,9,4134,199,227,167,3899,"wilderness_area_1","soil_type_38","0"
2457,272,7,450,151,999,202,242,179,1187,"wilderness_area_4","soil_type_6","0"
2532,350,10,309,28,90,202,224,159,1853,"wilderness_area_4","soil_type_6","0"
2434,64,7,0,0,395,227,226,133,1312,"wilderness_area_4","soil_type_6","0"
3068,265,9,120,14,540,198,244,185,875,"wilderness_area_3","soil_type_23","1"
2409,334,16,212,100,787,181,217,174,607,"wilderness_area_4","soil_type_10","0"
3022,7,6,342,0,1110,213,229,153,592,"wilderness_area_3","soil_type_32","1"
3073,106,9,30,1,3615,235,229,125,2292,"wilderness_area_1","soil_type_23","0"
2436,240,23,234,23,150,169,252,213,421,"wilderness_area_4","soil_type_10","0"
2936,92,16,60,-9,323,244,213,93,1209,"wilderness_area_1","soil_type_30","0"
2474,272,16,242,60,180,177,243,205,700,"wilderness_area_4","soil_type_10","0"
2614,61,10,395,-25,807,228,220,124,738,"wilderness_area_3","soil_type_17","0"
2483,86,10,90,-2,175,235,223,119,1254,"wilderness_area_3","soil_type_10","0"
3419,45,18,335,70,3109,222,198,104,1399,"wilderness_area_3","soil_type_39","0"
3371,353,13,760,100,1234,196,216,157,1677,"wilderness_area_3","soil_type_38","0"
3136,90,14,216,-32,1224,241,216,101,1114,"wilderness_area_1","soil_type_29","1"
3270,88,19,182,37,2012,245,205,82,1379,"wilderness_area_1","soil_type_39","0"
3310,181,10,1150,194,2482,223,247,156,2098,"wilderness_area_3","soil_type_31","0"
2578,171,17,150,39,1275,230,245,141,1915,"wilderness_area_3","soil_type_4","0"
3024,314,25,552,74,2964,145,212,202,499,"wilderness_area_3","soil_type_33","0"
2625,79,8,30,-8,2230,231,225,126,2524,"wilderness_area_3","soil_type_17","0"
2774,185,22,319,108,2021,218,249,153,2151,"wilderness_area_3","soil_type_10","1"
3202,25,11,390,127,1001,215,216,137,680,"wilderness_area_1","soil_type_22","0"
2687,317,11,60,-2,1572,191,231,179,2268,"wilderness_area_3","soil_type_17","0"
3410,326,7,362,37,2250,203,232,168,2655,"wilderness_area_3","soil_type_38","0"
3110,164,6,30,0,510,226,242,150,2105,"wilderness_area_1","soil_type_23","0"
3001,112,9,150,36,285,235,231,127,1034,"wilderness_area_1","soil_type_22","0"
3293,349,17,534,167,3707,187,210,160,3645,"wilderness_area_3","soil_type_40","0"
3022,18,7,85,0,787,215,226,148,1440,"wilderness_area_3","soil_type_23","0"
3256,22,11,488,57,582,213,217,139,1116,"wilderness_area_2","soil_type_23","0"
3329,96,14,67,12,1290,242,218,103,1473,"wilderness_area_2","soil_type_38","0"
3486,18,10,531,226,1233,212,218,142,1736,"wilderness_area_2","soil_type_40","0"
2657,91,16,309,100,2184,243,214,97,805,"wilderness_area_3","soil_type_2","0"
2494,146,20,212,48,2037,243,233,110,108,"wilderness_area_3","soil_type_2","0"
2804,162,12,192,52,3812,232,243,141,5498,"wilderness_area_1","soil_type_30","1"
2749,348,18,30,10,3421,185,209,161,5885,"wilderness_area_1","soil_type_29","0"
2775,341,20,108,36,3300,174,206,169,6004,"wilderness_area_1","soil_type_29","1"
2752,90,26,242,128,2820,249,189,53,6482,"wilderness_area_1","soil_type_12","1"
2626,12,30,30,14,2340,175,165,113,6962,"wilderness_area_1","soil_type_29","1"
2834,119,17,228,53,4050,246,223,100,5251,"wilderness_area_1","soil_type_30","1"
2785,0,14,120,36,3450,199,214,151,5851,"wilderness_area_1","soil_type_29","1"
2546,96,4,0,0,1110,227,233,141,6576,"wilderness_area_1","soil_type_16","1"
2785,350,20,108,33,3570,180,203,158,5731,"wilderness_area_1","soil_type_29","0"
2791,0,15,150,42,3450,196,210,150,5851,"wilderness_area_1","soil_type_29","1"
2680,96,33,108,56,2700,251,173,23,6601,"wilderness_area_1","soil_type_30","1"
2603,84,7,277,73,600,231,227,129,6295,"wilderness_area_1","soil_type_29","0"
2655,20,30,90,49,2130,185,164,101,7122,"wilderness_area_1","soil_type_29","1"
2762,190,30,180,95,2971,205,246,155,6330,"wilderness_area_1","soil_type_30","1"
2576,42,20,60,18,962,219,192,100,6421,"wilderness_area_1","soil_type_29","0"
2615,17,9,210,54,693,213,222,145,6285,"wilderness_area_1","soil_type_29","1"
2798,118,14,268,49,3331,243,227,111,5970,"wilderness_area_1","soil_type_12","1"
2844,135,16,134,49,4172,244,231,112,5130,"wilderness_area_1","soil_type_30","1"
2795,331,18,85,23,3692,176,215,178,5610,"wilderness_area_1","soil_type_29","1"
2621,9,29,120,55,1176,174,169,120,6482,"wilderness_area_1","soil_type_29","1"
2602,46,24,90,39,997,219,180,83,6385,"wilderness_area_1","soil_type_29","1"
2619,131,5,228,7,671,229,237,142,6218,"wilderness_area_1","soil_type_18","0"
2520,112,11,30,6,404,239,228,118,5750,"wilderness_area_1","soil_type_29","1"
2634,82,15,30,3,2674,240,212,98,6630,"wilderness_area_1","soil_type_30","1"
2726,324,10,175,105,2435,195,229,174,6870,"wilderness_area_1","soil_type_29","0"
2637,15,22,150,15,1209,195,188,124,6473,"wilderness_area_1","soil_type_29","0"
2584,78,18,30,6,942,240,204,87,6329,"wilderness_area_1","soil_type_29","1"
2610,103,9,190,-1,648,235,229,125,6177,"wilderness_area_1","soil_type_29","0"
2640,68,4,85,19,1095,224,231,142,6383,"wilderness_area_1","soil_type_29","0"
2788,54,6,30,-2,4055,224,227,138,5251,"wilderness_area_1","soil_type_30","1"
2665,4,22,180,82,1485,186,193,139,6577,"wilderness_area_1","soil_type_29","0"
2795,111,13,256,99,3431,242,225,110,5883,"wilderness_area_1","soil_type_12","1"
2654,129,17,85,24,1318,246,227,103,6424,"wilderness_area_1","soil_type_29","1"
2870,186,19,134,20,4929,219,250,156,4385,"wilderness_area_1","soil_type_30","1"
2778,95,18,190,82,3373,246,210,86,5944,"wilderness_area_1","soil_type_30","1"
2732,328,29,108,69,2597,138,192,186,6723,"wilderness_area_1","soil_type_29","0"
2673,106,8,150,18,1618,233,231,130,6576,"wilderness_area_1","soil_type_12","1"
2519,40,4,175,1,679,220,231,148,5512,"wilderness_area_1","soil_type_18","0"
2929,144,6,218,-9,5769,230,239,143,3548,"wilderness_area_1","soil_type_29","1"
2834,148,14,60,0,4662,238,238,126,4656,"wilderness_area_1","soil_type_30","1"
2713,116,30,67,27,3257,254,197,47,6065,"wilderness_area_1","soil_type_30","0"
2688,90,3,170,26,1771,225,234,145,6644,"wilderness_area_1","soil_type_12","0"
2988,148,15,467,20,6280,239,237,124,3042,"wilderness_area_1","soil_type_29","1"
2978,146,18,424,13,6220,242,235,116,3102,"wilderness_area_1","soil_type_29","1"
2857,126,6,85,7,4933,231,236,137,4388,"wilderness_area_1","soil_type_16","1"
2854,149,18,60,4,4843,241,236,118,4478,"wilderness_area_1","soil_type_30","1"
2932,357,13,150,-6,5653,199,216,154,3672,"wilderness_area_1","soil_type_29","1"
2687,57,7,124,29,1783,225,226,136,6597,"wilderness_area_1","soil_type_12","1"
2827,59,17,297,101,3654,230,203,101,5680,"wilderness_area_1","soil_type_12","1"
2554,90,3,134,4,484,224,234,146,5555,"wilderness_area_1","soil_type_18","1"
2818,344,8,0,0,4522,203,227,163,4813,"wilderness_area_1","soil_type_16","1"
2647,348,12,0,0,1537,198,221,161,6384,"wilderness_area_1","soil_type_16","1"
2840,9,16,95,26,4287,201,207,141,5055,"wilderness_area_1","soil_type_29","1"
2791,122,22,150,69,3513,251,216,80,5833,"wilderness_area_1","soil_type_30","1"
2640,159,10,42,-2,1114,231,242,142,6057,"wilderness_area_1","soil_type_12","1"
2610,63,8,30,1,811,227,224,131,5865,"wilderness_area_1","soil_type_29","1"
2877,38,16,30,-2,5069,218,203,115,4284,"wilderness_area_1","soil_type_29","1"
2840,348,8,0,0,4681,205,227,160,4672,"wilderness_area_1","soil_type_29","1"
2844,346,14,67,13,4532,192,217,162,4821,"wilderness_area_1","soil_type_29","1"
2873,22,3,306,69,3997,218,233,153,5359,"wilderness_area_1","soil_type_12","1"
2676,359,20,30,13,1736,187,200,147,6423,"wilderness_area_1","soil_type_29","1"
2860,94,7,108,3,4893,231,230,132,4466,"wilderness_area_1","soil_type_29","1"
2847,348,15,85,16,4566,192,215,161,4794,"wilderness_area_1","soil_type_29","1"
2811,135,22,150,69,3615,248,224,91,5750,"wilderness_area_1","soil_type_30","1"
2788,9,10,283,92,2995,209,221,149,6378,"wilderness_area_1","soil_type_12","0"
2772,333,14,300,105,2848,188,222,172,6528,"wilderness_area_1","soil_type_12","0"
2643,6,7,95,0,1142,212,226,152,6007,"wilderness_area_1","soil_type_12","1"
2598,48,7,120,2,691,223,225,137,5694,"wilderness_area_1","soil_type_29","1"
2654,33,8,180,3,1315,219,222,139,6086,"wilderness_area_1","soil_type_12","1"
2985,0,10,242,-2,6242,205,221,153,3137,"wilderness_area_1","soil_type_29","1"
2949,357,10,60,4,5735,204,221,155,3640,"wilderness_area_1","soil_type_29","0"
2860,353,14,85,16,4633,196,215,157,4741,"wilderness_area_1","soil_type_24","1"
2677,77,5,180,22,1572,227,230,138,6223,"wilderness_area_1","soil_type_12","1"
2644,33,5,153,1,1173,219,229,147,5958,"wilderness_area_1","soil_type_12","1"
2942,35,17,108,23,5500,216,200,114,3882,"wilderness_area_1","soil_type_29","1"
2932,33,16,90,13,5410,215,205,121,3971,"wilderness_area_1","soil_type_29","1"
2863,198,14,270,73,4252,215,251,168,5132,"wilderness_area_1","soil_type_30","1"
2685,22,9,0,0,1974,214,220,141,6466,"wilderness_area_1","soil_type_16","1"
2657,101,4,240,5,1317,226,234,144,6019,"wilderness_area_1","soil_type_12","1"
3044,90,8,450,26,6606,232,228,129,2795,"wilderness_area_1","soil_type_29","1"
2866,200,14,256,76,4168,214,252,170,5225,"wilderness_area_1","soil_type_30","1"
2788,63,11,417,102,2932,230,218,121,6478,"wilderness_area_1","soil_type_12","0"
2599,52,6,247,0,765,223,227,140,5560,"wilderness_area_1","soil_type_29","1"
2867,97,12,67,13,4943,240,222,110,4455,"wilderness_area_1","soil_type_29","1"
2863,315,16,60,26,4765,175,225,190,4633,"wilderness_area_1","soil_type_24","1"
2857,159,16,216,95,3995,235,241,131,5407,"wilderness_area_1","soil_type_12","1"
2712,116,15,67,20,2135,245,224,105,6520,"wilderness_area_1","soil_type_12","1"
2998,68,8,108,10,6166,229,223,127,3248,"wilderness_area_1","soil_type_29","1"
2972,39,9,210,53,5571,221,220,134,3837,"wilderness_area_1","soil_type_29","1"
2922,81,13,180,9,5244,237,216,107,4163,"wilderness_area_1","soil_type_29","0"
2834,154,23,150,72,3913,240,234,111,5500,"wilderness_area_1","soil_type_30","1"
2755,315,2,255,32,2543,214,237,161,6788,"wilderness_area_1","soil_type_12","1"
2505,46,18,30,0,930,223,199,104,5020,"wilderness_area_1","soil_type_16","1"
2762,357,16,0,0,3719,192,209,152,5716,"wilderness_area_1","soil_type_30","1"
2772,82,7,268,44,2618,230,228,132,6789,"wilderness_area_1","soil_type_12","1"
2991,343,9,42,3,6029,202,226,163,3413,"wilderness_area_1","soil_type_20","1"
2800,202,23,90,13,4283,202,253,175,5155,"wilderness_area_1","soil_type_30","1"
2824,34,5,255,85,3347,219,228,146,6106,"wilderness_area_1","soil_type_12","0"
3070,59,12,301,10,6746,229,215,117,2724,"wilderness_area_1","soil_type_29","1"
2945,135,16,300,26,5470,244,231,112,3977,"wilderness_area_1","soil_type_29","1"
2794,144,18,60,4,4436,242,234,114,5011,"wilderness_area_1","soil_type_30","1"
3080,67,8,268,-9,6810,228,224,129,2676,"wilderness_area_1","soil_type_29","1"
2790,180,24,90,9,4178,221,246,145,5282,"wilderness_area_1","soil_type_30","1"
2730,135,18,30,6,2423,245,230,107,6555,"wilderness_area_1","soil_type_12","1"
2665,71,19,379,18,1273,237,200,87,5685,"wilderness_area_1","soil_type_29","1"
2638,24,6,351,10,1172,217,227,147,5600,"wilderness_area_1","soil_type_29","1"
2995,90,11,295,20,5805,237,223,116,3667,"wilderness_area_1","soil_type_29","1"
2663,152,5,360,-6,1403,226,240,149,5748,"wilderness_area_1","soil_type_29","1"
